id,gender,age,age_group,directory,file,masked,label
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,mask2.jpg,0,4
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,incorrect_mask.jpg,1,10
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,mask1.jpg,0,4
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,mask5.jpg,0,4
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,mask4.jpg,0,4
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,normal.jpg,2,16
000001,1,45,1,../input/data/train/images/000001_female_Asian_45,mask3.jpg,0,4
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,mask3.jpg,0,4
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,mask1.jpg,0,4
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,incorrect_mask.jpg,1,10
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,mask2.jpg,0,4
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,normal.jpg,2,16
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,mask4.jpg,0,4
000002,1,52,1,../input/data/train/images/000002_female_Asian_52,mask5.jpg,0,4
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,normal.jpg,2,13
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,mask5.jpg,0,1
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,mask4.jpg,0,1
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,mask3.jpg,0,1
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,mask2.jpg,0,1
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,mask1.jpg,0,1
000004,0,54,1,../input/data/train/images/000004_male_Asian_54,incorrect_mask.jpg,1,7
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,mask1.jpg,0,4
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,mask3.jpg,0,4
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,mask5.jpg,0,4
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,incorrect_mask.jpg,1,10
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,mask2.jpg,0,4
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,normal.jpg,2,16
000005,1,58,1,../input/data/train/images/000005_female_Asian_58,mask4.jpg,0,4
000006,1,59,1,../input/data/train/images/000006_female_Asian_59,normal.jpg,2,16
